shipment_id,subscriber_id,ship_date,box_theme,item_count,declared_value
1,1,2024-01-15,Cozy Reads,7,58.50
2,1,2024-02-15,Indie Snacks,6,52.00
3,1,2024-03-15,Beauty Picks,8,64.75
4,1,2024-04-15,Garden Starters,7,55.20
5,2,2024-01-20,Indie Snacks,5,28.99
6,2,2024-02-20,Stationery Set,4,26.50
7,2,2024-03-20,Cozy Reads,5,31.00
8,3,2024-01-10,Artisan Coffee,11,148.00
9,3,2024-02-10,Wellness Ritual,10,162.50
10,3,2024-03-10,Beauty Picks,12,175.25
11,3,2024-04-10,Vintage Vinyl,9,138.00
12,3,2024-05-10,Cozy Reads,10,155.75
13,4,2024-01-18,Garden Starters,7,62.00
14,4,2024-02-18,Indie Snacks,6,54.50
15,4,2024-03-18,Pet Treats,8,68.25
16,5,2024-02-08,Stationery Set,4,24.00
17,5,2024-03-08,Indie Snacks,5,29.50
18,5,2024-04-08,Cozy Reads,4,27.99
19,5,2024-05-08,Beauty Picks,5,33.50
20,6,2024-01-22,Beauty Picks,8,71.00
21,6,2024-02-22,Wellness Ritual,7,66.25
22,6,2024-03-22,Cozy Reads,6,58.00
23,6,2024-04-22,Garden Starters,8,73.50
24,7,2024-01-05,Vintage Vinyl,12,178.00
25,7,2024-02-05,Artisan Coffee,11,165.50
26,7,2024-03-05,Wellness Ritual,10,159.99
27,7,2024-04-05,Beauty Picks,11,172.00
28,7,2024-05-05,Cozy Reads,9,142.75
29,8,2024-02-12,Indie Snacks,5,30.50
30,8,2024-03-12,Pet Treats,6,38.00
31,8,2024-04-12,Stationery Set,4,25.99
32,9,2024-01-28,Beauty Picks,8,69.50
33,9,2024-02-28,Cozy Reads,7,61.00
34,9,2024-03-28,Wellness Ritual,7,67.25
35,9,2024-04-28,Indie Snacks,6,55.00
36,10,2024-02-04,Indie Snacks,5,28.50
37,10,2024-03-04,Cozy Reads,4,26.99
38,10,2024-04-04,Stationery Set,5,32.00
39,11,2024-01-12,Artisan Coffee,10,151.00
40,11,2024-02-12,Vintage Vinyl,11,168.75
41,11,2024-03-12,Beauty Picks,12,182.50
42,11,2024-04-12,Wellness Ritual,9,144.00
43,12,2024-02-14,Cozy Reads,7,59.99
44,12,2024-03-14,Garden Starters,8,72.00
45,12,2024-04-14,Indie Snacks,6,54.25
46,13,2024-02-25,Indie Snacks,4,24.50
47,13,2024-03-25,Cozy Reads,5,29.99
48,13,2024-04-25,Beauty Picks,5,34.50
49,14,2024-01-19,Wellness Ritual,7,65.00
50,14,2024-02-19,Beauty Picks,8,70.50
51,14,2024-03-19,Cozy Reads,7,61.25
52,14,2024-04-19,Pet Treats,8,68.75
53,15,2024-01-08,Beauty Picks,11,174.50
54,15,2024-02-08,Wellness Ritual,12,185.00
55,15,2024-03-08,Vintage Vinyl,10,156.99
56,15,2024-04-08,Cozy Reads,9,145.00
57,16,2024-02-26,Indie Snacks,5,29.00
58,16,2024-03-26,Stationery Set,4,25.50
59,16,2024-04-26,Cozy Reads,5,31.99
60,17,2024-01-30,Garden Starters,8,74.25
61,17,2024-02-28,Beauty Picks,7,64.50
62,17,2024-03-30,Wellness Ritual,8,69.99
63,17,2024-04-30,Indie Snacks,6,52.75
64,18,2024-01-14,Artisan Coffee,10,158.50
65,18,2024-02-14,Beauty Picks,11,176.00
66,18,2024-03-14,Cozy Reads,9,141.25
67,18,2024-04-14,Wellness Ritual,10,163.50
68,19,2024-02-21,Indie Snacks,5,30.99
69,19,2024-03-21,Cozy Reads,4,27.50
70,19,2024-04-21,Beauty Picks,5,33.00
71,20,2024-01-25,Pet Treats,8,72.50
72,20,2024-02-25,Cozy Reads,7,60.00
73,20,2024-03-25,Wellness Ritual,7,66.75
74,20,2024-04-25,Beauty Picks,8,71.99
75,21,2024-02-09,Cozy Reads,4,26.50
76,21,2024-03-09,Indie Snacks,5,30.00
77,22,2024-01-21,Beauty Picks,7,63.50
78,22,2024-02-21,Wellness Ritual,8,69.25
79,22,2024-03-21,Indie Snacks,7,57.00
80,22,2024-04-21,Cozy Reads,6,54.99
81,23,2024-01-16,Vintage Vinyl,11,169.50
82,23,2024-02-16,Beauty Picks,12,181.25
83,23,2024-03-16,Wellness Ritual,10,154.00
84,24,2024-02-23,Stationery Set,4,24.99
85,24,2024-03-23,Indie Snacks,5,30.50
86,24,2024-04-23,Cozy Reads,4,28.00
87,25,2024-02-06,Beauty Picks,7,62.75
88,25,2024-03-06,Cozy Reads,6,57.50
89,25,2024-04-06,Garden Starters,8,73.00
