user_id,username,age,city,last_active_at
1,emma_walker,27,New York,2024-09-12 18:42:00
2,liam_chen,31,San Francisco,2024-09-15 09:11:00
3,olivia_park,24,Brooklyn,2024-09-14 22:05:00
4,noah_rivera,29,Austin,2024-09-13 12:30:00
5,ava_singh,26,Chicago,2024-09-15 07:55:00
6,ethan_brooks,34,Seattle,2024-09-10 21:18:00
7,mia_torres,22,Los Angeles,2024-09-15 11:02:00
8,lucas_kim,30,San Francisco,2024-09-14 19:40:00
9,sophia_nguyen,28,New York,2024-09-15 14:25:00
10,mason_clark,33,Denver,
11,isabella_diaz,25,Miami,2024-09-12 08:14:00
12,james_obrien,32,Boston,2024-09-11 16:48:00
13,charlotte_lee,29,Brooklyn,2024-09-15 10:30:00
14,benjamin_ford,36,Portland,
15,amelia_wang,23,Austin,2024-09-15 13:12:00
16,henry_morgan,35,Chicago,2024-09-09 20:00:00
17,harper_jones,28,Los Angeles,2024-09-14 23:17:00
18,daniel_patel,40,San Francisco,2024-09-08 17:30:00
19,evelyn_carter,27,New York,2024-09-15 15:44:00
20,michael_hughes,38,Seattle,
21,abigail_reed,26,Miami,2024-09-13 06:25:00
22,jackson_bell,31,Denver,2024-09-12 19:50:00
23,ella_murphy,24,Boston,2024-09-15 08:33:00
24,sebastian_ross,29,Portland,2024-09-14 11:20:00
25,scarlett_yu,30,Brooklyn,
26,david_martinez,33,Austin,2024-09-15 16:01:00
27,grace_thompson,25,Chicago,2024-09-14 09:45:00
28,owen_fischer,28,Los Angeles,2024-09-15 12:08:00
29,zoey_bennett,26,New York,2024-09-15 17:22:00
30,julian_kovacs,37,San Francisco,
